Sentence	TokenOrder	Token	NER_Tag	pos
11	1	Poyezdda	O	NER
11	2	216	B-NUMERIC	NER
11	3	nafar	I-NUMERIC	NER
11	4	yo‘lovchi	O	NER
11	5	bo‘lgan	O	NER
11	6	.	O	PUNCT
12	1	Yuk	O	NER
12	2	mashinasi	O	NER
12	3	haydovchisi	O	NER
12	4	shifoxonaga	O	NER
12	5	jo‘natilgan	O	NER
12	6	.	O	PUNCT
13	1	Shahram	B-PER	NER
13	2	G‘iyosov	I-PER	NER
13	3	kutilmaganda	O	NER
13	4	ringga	O	NER
13	5	chiqadi	O	NER
13	6	.	O	PUNCT
14	1	Navbatdagi	O	NER
14	2	jangi	O	NER
14	3	sanasi	O	NER
14	4	ma’lum	O	NER
14	5	bo‘ldi	O	NER
14	6	.	O	PUNCT
15	1	Toshkentdagi	B-LOC	NER
15	2	«	O	PUNCT
15	3	Humo	B-LOC	NER
15	4	Arena	I-LOC	NER
15	5	»	O	PUNCT
15	6	majmuasida	O	IB
15	7	professional	O	IB
15	8	boks	O	IB
15	9	oqshomi	O	IB
15	10	tashkil	O	IB
15	11	etiladi	O	IB
15	12	.	O	PUNCT
16	1	Ravshan	B-PER	NER
16	2	Ermatov	I-PER	NER
16	3	Kannavaro	B-PER	NER
16	4	4	B-MONEY	NER
16	5	mln	I-MONEY	IB
16	6	yevro	I-MONEY	IB
16	7	olishi	O	IB
16	8	haqidagi	O	IB
16	9	mish-mishlarga	O	IB
16	10	oydinlik	O	IB
16	11	kiritdi	O	IB
16	12	.	O	PUNCT
17	1	Italiyalik	O	NER
17	2	mutaxassis	O	NER
17	3	O‘zbekiston	B-LOC	NER
17	4	MTJ	B-ORG	NER
17	5	bosh	O	IB
17	6	murabbiyi	O	IB
17	7	sifatida	O	IB
17	8	ikki	O	IB
17	9	yil	O	IB
17	10	faoliyat	O	IB
17	11	yuritadigan	O	IB
17	12	bo‘ldi	O	IB
17	13	.	O	PUNCT
18	1	IIB	B-ORG	NER
18	2	fitnasi	O	NER
18	3	:	O	PUNCT
18	4	Farg‘onada	B-LOC	NER
18	5	IIB	B-ORG	NER
18	6	xodimlari	O	NER
18	7	ayolni	O	NER
18	8	yechintirib	O	NER
18	9	,	O	PUNCT
18	10	yolg‘on	O	N
18	11	ariza	O	N
18	12	berishga	O	N
18	13	majburladi	O	N
18	14	.	O	PUNCT
19	1	Farg‘ona	B-LOC	NER
19	2	viloyati	I-LOC	NER
19	3	Furqat	B-LOC	NER
19	4	tumanida	I-LOC	NER
19	5	IIB	B-ORG	NER
19	6	xodimlari	O	NER
19	7	34	B-NUMERIC	NER
19	8	yoshli	O	NER
19	9	ayolni	O	IB
19	10	tuman	O	IB
19	11	soliq	O	IB
19	12	inspeksiyasi	O	IB
19	13	boshlig‘i	O	IB
19	14	bilan	O	IB
19	15	birga	O	IB
19	16	yechintirib	O	IB
19	17	,	O	PUNCT
19	18	kaltaklashgani	O	N
19	19	iddao	O	N
19	20	qilinmoqda	O	N
19	21	.	O	PUNCT
20	1	Ular	O	IB
20	2	ayolni	O	IB
20	3	soliq	O	IB
20	4	inspeksiyasi	O	IB
20	5	boshlig‘i	O	IB
20	6	ustidan	O	IB
20	7	yolg‘on	O	IB
20	8	ariza	O	IB
20	9	berishga	O	IB
20	10	majburlab	O	IB
20	11	,	O	PUNCT
20	12	kaltaklagani	O	N
20	13	aytilmoqda	O	N
20	14	.	O	PUNCT
21	1	O‘zbekiston	B-LOC	NER
21	2	«	O	PUNCT
21	3	yashil	O	N
21	4	»	O	PUNCT
21	5	obligatsiyalar	O	IB
21	6	va	O	IB
21	7	islomiy	O	IB
21	8	moliya	O	IB
21	9	bozoriga	O	IB
21	10	chiqishni	O	IB
21	11	rejalashtirmoqda	O	IB
21	12	.	O	PUNCT
22	1	O‘zbekiston	B-LOC	IB
22	2	tashqi	O	IB
22	3	qarz	O	IB
22	4	tuzilmasini	O	IB
22	5	diversifikatsiya	O	IB
22	6	qilish	O	IB
22	7	maqsadida	O	IB
22	8	ESG	O	IB
22	9	obligatsiyalar	O	IB
22	10	va	O	IB
22	11	islomiy	O	IB
22	12	moliya	O	IB
22	13	instrumentlarini	O	IB
22	14	joriy	O	IB
22	15	etish	O	IB
22	16	bo‘yicha	O	IB
22	17	ishlar	O	IB
22	18	boshladi	O	IB
22	19	.	O	PUNCT
23	1	Siz	O	NER
23	2	Afg‘oniston	B-LOC	NER
23	3	Toliboni	B-ORG	NER
23	4	haqida	O	NER
23	5	eshitgansiz	O	NER
23	6	.	O	PUNCT
24	1	Xo‘sh	O	NER
24	2	Pokiston	B-LOC	NER
24	3	Toliboni	B-ORG	NER
24	4	haqidachi	O	NER
24	5	?	O	PUNCT
25	1	U	O	NER
25	2	qanday	O	NER
25	3	paydo	O	NER
25	4	bo‘lgan	O	NER
25	5	?	O	PUNCT
26	1	Dastlab	O	NER
26	2	Tolibon	B-ORG	NER
26	3	Afg‘onistonni	B-LOC	NER
26	4	1996	B-TEMPORAL	NER
26	5	yildan	I-TEMPORAL	NER
26	6	to	O	NER
26	7	AQSh	B-LOC	NER
26	8	2001	B-TEMPORAL	NER
26	9	yilda	I-TEMPORAL	NER
26	10	Afg‘oniston	B-LOC	NER
26	11	hududini	O	NER
26	12	bosib	O	NER
26	13	olguniga	O	NER
26	14	qadar	O	NER
26	15	boshqarishgan	O	NER
26	16	.	O	PUNCT
27	1	AQSh	B-LOC	NER
27	2	afg‘on	O	NER
27	3	yerlarini	O	NER
27	4	egallagach	O	NER
27	5	,	O	PUNCT
27	6	ko‘plab	O	N
27	7	Tolibon	B-ORG	NER
27	8	vakillari	O	NER
27	9	qo‘shni	O	NER
27	10	Pokiston	B-LOC	NER
27	11	hududiga	O	NER
27	12	o‘tib	O	NER
27	13	ketishadi	O	NER
27	14	.	O	PUNCT
28	1	U	O	NER
28	2	yerda	O	NER
28	3	2007	B-TEMPORAL	NER
28	4	yil	B-MISC	NER
28	5	“	O	PUNCT
28	6	Tahriki	B-ORG	NER
28	7	Tolibon	I-ORG	NER
28	8	”	O	PUNCT
28	9	Pokiston	B-LOC	N
28	10	koalitsiyasini	O	N
28	11	tuzishadi	O	N
28	12	.	O	PUNCT
29	1	Ular	O	NER
29	2	ham	O	NER
29	3	Pokiston	B-LOC	NER
29	4	hududida	O	NER
29	5	Islomiy	B-ORG	NER
29	6	davlat	I-ORG	NER
29	7	tuzishga	O	NER
29	8	niyat	O	NER
29	9	qilishgan	O	NER
29	10	.	O	PUNCT
30	1	Garchi	O	NER
30	2	allaqachon	O	NER
30	3	Pokiston	B-LOC	NER
30	4	Islom	I-LOC	NER
30	5	Respublikasi	I-LOC	NER
30	6	hisoblansada	O	NER
30	7	.	O	PUNCT
31	1	Pokiston	B-LOC	NER
31	2	Toliboni	B-ORG	NER
31	3	asosiy	O	NER
31	4	Afg‘oniston	B-LOC	NER
31	5	Toliboniga	B-ORG	NER
31	6	sodiqligini	O	IB
31	7	izhor	O	IB
31	8	etgan	O	IB
31	9	bo‘lsada	O	IB
31	10	u	O	IB
31	11	ayni	O	IB
31	12	damda	O	IB
31	13	Pokiston	B-LOC	IB
31	14	bilan	O	IB
31	15	urush	O	IB
31	16	holatida	O	IB
31	17	.	O	PUNCT
32	1	Ya’ni	O	NER
32	2	haqiqiy	O	NER
32	3	afg‘on	O	NER
32	4	Tolibon	B-ORG	NER
32	5	vakillar	O	NER
32	6	aslida	O	NER
32	7	aynan	O	NER
32	8	AQSh	B-LOC	NER
32	9	va	O	NER
32	10	Pokiston	B-LOC	NER
32	11	tomonidan	O	IB
32	12	SSSRga	B-LOC	IB
32	13	qarshi	O	IB
32	14	tarbiyalangan	O	IB
32	15	va	O	IB
32	16	qurollantirilgan	O	IB
32	17	jangchilar	O	IB
32	18	bo‘lib	O	IB
32	19	,	O	IB
32	20	bugungi	O	IB
32	21	kunga	O	IB
32	22	kelib	O	IB
32	23	esa	O	IB
32	24	o‘sha	O	IB
32	25	tarbiyalangan	O	IB
32	26	jangchilari	O	IB
32	27	bilan	O	IB
32	28	o‘zlari	O	IB
32	29	dushmanga	O	IB
32	30	aylanishgan	O	IB
32	31	.	O	PUNCT
33	1	Nizomga	O	N
33	2	ko‘ra	O	II
33	3	,	O	PUNCT
33	4	""""	O	PUNCT
33	5	Oliy	B-ORG	NER
33	6	ta’lim	I-ORG	NER
33	7	,	I-ORG	PUNCT
33	8	fan	I-ORG	N
33	9	va	I-ORG	C
33	10	innovatsiyalar	I-ORG	N
33	11	vazirligi	I-ORG	N
33	12	""""	O	PUNCT
33	13	mazkur	O	RR
33	14	sohada	O	N
33	15	vakolatli	O	JJ
33	16	davlat	O	N
33	17	organi	O	N
33	18	hisoblanadi	O	VB
33	19	.	O	PUNCT
34	1	Ariza	O	N
34	2	beruvchi	O	VB
34	3	""""	O	PUNCT
34	4	qo‘shma	O	NER
34	5	ta’lim	O	NER
34	6	""""	O	PUNCT
34	7	dasturini	O	N
34	8	joriy	O	VB
34	9	etish	O	VB
34	10	uchun	O	II
34	11	belgilangan	O	VB
34	12	hujjatlarni	O	N
34	13	ilova	O	VB
34	14	qilgan	O	VB
34	15	holda	O	II
34	16	vakolatli	O	JJ
34	17	organga	O	N
34	18	ariza	O	N
34	19	bilan	O	II
34	20	murojaat	O	VB
34	21	qiladi	O	VB
34	22	.	O	PUNCT
35	1	2025/2026-o‘quv	B-TEMPORAL	N
35	2	yili	I-TEMPORAL	N
35	3	uchun	O	II
35	4	magistratura	O	N
35	5	bosqichiga	O	N
35	6	qabul	O	VB
35	7	natijalari	O	VB
35	8	tasdiqlandi	O	VB
35	9	va	O	C
35	10	oliy	O	JJ
35	11	ta’lim	O	N
35	12	tashkilotlariga	O	N
35	13	yetkazildi	O	VB
35	14	.	O	PUNCT
36	1	Shuningdek	O	MD
36	2	,	O	PUNCT
36	3	Vazirlar	B-ORG	NER
36	4	Mahkamasining	I-ORG	NER
36	5	qaroriga	O	N
36	6	muvofiq	O	II
36	7	,	O	PUNCT
36	8	belgilangan	O	VB
36	9	kvota	O	N
36	10	doirasida	O	N
36	11	o‘qishga	O	VB
36	12	kira	O	VB
36	13	olmagan	O	VB
36	14	abituriyentlar	O	N
36	15	uchun	O	II
36	16	qo‘shimcha	O	JJ
36	17	qabul	O	N
36	18	imkoniyati	O	N
36	19	mavjud	O	N
36	20	.	O	PUNCT
37	1	Bunda	O	P
37	2	oliygohlarning	O	N
37	3	quvvati	O	N
37	4	,	O	PUNCT
37	5	moddiy-texnik	O	JJ
37	6	bazasi	O	N
37	7	va	O	C
37	8	professor-o‘qituvchilar	O	N
37	9	tarkibi	O	N
37	10	inobatga	O	VB
37	11	olinadi	O	VB
37	12	.	O	PUNCT
38	1	Qo‘shimcha	O	JJ
38	2	qabul	O	N
38	3	parametrlari	O	N
38	4	Oliy	B-ORG	NER
38	5	ta’lim	I-ORG	NER
38	6	,	I-ORG	PUNCT
38	7	fan	I-ORG	N
38	8	va	I-ORG	C
38	9	innovatsiyalar	I-ORG	N
38	10	vazirligi	I-ORG	N
38	11	bilan	O	N
38	12	kelishilgan	O	VB
38	13	holda	O	II
38	14	tasdiqlanadi	O	VB
38	15	.	O	PUNCT
39	1	Har	O	P
39	2	bir	O	P
39	3	maqola	O	N
39	4	uchun	O	II
39	5	DOI	O	NER
39	6	raqami	O	N
39	7	beriladi	O	VB
39	8	.	O	PUNCT
40	1	Sertifikat	O	N
40	2	va	O	C
40	3	maqola	O	N
40	4	onlayn	O	JJ
40	5	havolasi	O	N
40	6	beriladi	O	VB
40	7	.	O	PUNCT
41	1	Maqolalar	O	N
41	2	xalqaro	O	JJ
41	3	IMRAD	O	NER
41	4	talabi	O	N
41	5	bo‘yicha	O	II
41	6	qabul	O	VB
41	7	qilinadi	O	VB
41	8	.	O	PUNCT
42	1	Plagiat	O	NER
42	2	chiqqan	O	VB
42	3	maqolalar	O	N
42	4	nashr	O	VB
42	5	etilmaydi	O	VB
42	6	.	O	PUNCT
43	1	Nashr	O	N
43	2	uchun	O	II
43	3	to‘lov	O	N
43	4	~180	B-MONEY	N
43	5	ming	I-MONEY	NUM
43	6	emas~	O	N
43	7	90	B-MONEY	NUM
43	8	ming	I-MONEY	NUM
43	9	so‘m	I-MONEY	N
43	10	.	O	PUNCT
44	1	Bobur	B-PER	NER
44	2	Mansurov	I-PER	NER
44	3	jamoasi	O	N
44	4	bilan	O	II
44	5	yaxshi	O	JJ
44	6	ishga	O	N
44	7	qo‘l	O	VB
44	8	uribdi	O	VB
44	9	.	O	PUNCT
45	1	Gap	O	N
45	2	shundaki	O	P
45	3	,	O	PUNCT
45	4	ustozga	O	N
45	5	hurmat	O	N
45	6	,	O	PUNCT
45	7	ularni	O	P
45	8	e’zozlash	O	VB
45	9	va	O	C
45	10	qadrlash	O	VB
45	11	g‘oyasi	O	N
45	12	asosida	O	N
45	13	video	O	N
45	14	tayyorlab	O	VB
45	15	,	O	PUNCT
45	16	uni	O	P
45	17	#ustozjon	O	N
45	18	heshtegi	O	N
45	19	bilan	O	II
45	20	Instagramga	B-ORG	N
45	21	joylash	O	VB
45	22	lozim	O	MD
45	23	.	O	PUNCT
46	1	Eng	O	RR
46	2	sara	O	JJ
46	3	10	B-NUMERIC	NUM
46	4	ta	I-NUMERIC	NUM
46	5	videoni	O	N
46	6	Bobur	B-PER	NER
46	7	Mansurov	I-PER	NER
46	8	o‘zining	O	N
46	9	sahifasiga	O	N
46	10	“	O	PUNCT
46	11	story	B-ORG	N
46	12	”	O	PUNCT
46	13	qilib	O	VB
46	14	joylaydi	O	VB
46	15	.	O	PUNCT
47	1	Videolarni	O	N
47	2	qabul	O	VB
47	3	qilishning	O	VB
47	4	oxirgi	O	JJ
47	5	muddati	O	N
47	6	30-sentabr	B-TEMPORAL	N
47	7	,	O	PUNCT
47	8	soat	O	N
47	9	00:00:00	B-TEMPORAL	NER
47	10	gacha	O	NER
47	11	.	O	PUNCT
48	1	Bugundan	O	RR
48	2	boshlab	O	II
48	3	bazaviy	O	JJ
48	4	hisoblash	O	VB
48	5	miqdori	O	N
48	6	330	B-MONEY	NUM
48	7	0	I-MONEY	NUM
48	8	so‘m	I-MONEY	N
48	9	etib	O	VB
48	10	belgilandi	O	VB
48	11	.	O	PUNCT
49	1	Mehnatga	O	N
49	2	haq	O	N
49	3	to‘lashning	O	VB
49	4	eng	O	RR
49	5	kam	O	RR
49	6	miqdori	O	N
49	7	–	O	PUNCT
49	8	oyiga	O	N
49	9	980	B-MONEY	NUM
49	10	0	I-MONEY	NUM
49	11	so‘m	I-MONEY	N
49	12	etib	O	VB
49	13	belgilandi	O	VB
49	14	.	O	PUNCT
50	1	To‘lov	O	N
50	2	kontrakti	O	N
50	3	MHTEKMga	B-ORG	NER
50	4	bog‘lab	O	VB
50	5	qo‘yilganini	O	N
50	6	hisobga	O	VB
50	7	olsak	O	VB
50	8	kontrakt	O	N
50	9	oshishi	O	VB
50	10	ehtimoli	O	N
50	11	bor	O	MD
50	12	.	O	PUNCT
51	1	Lekin	O	C
51	2	pandemiya	O	N
51	3	davridan	O	N
51	4	beri	O	II
51	5	MHTEKM	B-ORG	NER
51	6	oshsa	O	VB
51	7	ham	O	Prt
51	8	kontrakt	O	N
51	9	oshishi	O	VB
51	10	kuzatilmayapti	O	VB
51	11	.	O	PUNCT
52	1	Endilikda	O	RR
52	2	sirtqi	O	N
52	3	ta’lim	O	N
52	4	shakli	O	N
52	5	uchun	O	II
52	6	kamida	O	RR
52	7	5	B-NUMERIC	NUM
52	8	yillik	I-NUMERIC	JJ
52	9	staj	O	N
52	10	talab	O	VB
52	11	etiladi	O	VB
52	12	.	O	PUNCT
53	1	Ushbu	O	P
53	2	tartib	O	N
53	3	2023/2024	B-TEMPORAL	N
53	4	-	I-TEMPORAL	PUNCT
53	5	o‘quv	I-TEMPORAL	N
53	6	yilidan	I-TEMPORAL	N
53	7	amal	O	VB
53	8	qiladi	O	VB
53	9	.	O	PUNCT
54	1	Oliy	B-ORG	JJ
54	2	ta’lim	I-ORG	N
54	3	,	I-ORG	PUNCT
54	4	fan	I-ORG	N
54	5	va	I-ORG	C
54	6	innovatsiyalar	I-ORG	N
54	7	vazirligi	I-ORG	N
54	8	qonun	O	N
54	9	loyihasida	O	N
54	10	keltirilgan	O	VB
54	11	""""	O	PUNCT
54	12	ikki	O	NUM
54	13	va	O	C
54	14	undan	O	P
54	15	ortiq	O	JJ
54	16	talabalarni	O	N
54	17	rasmiylashtirishda	O	VB
54	18	xonadonning	O	N
54	19	maydoni	O	N
54	20	har	O	P
54	21	bir	O	P
54	22	talaba	O	N
54	23	uchun	O	II
54	24	12	B-NUMERIC	NUM
54	25	(	O	PUNCT
54	26	o‘n	B-NUMERIC	NUM
54	27	ikki	I-NUMERIC	NUM
54	28	)	O	PUNCT
54	29	metr	B-NUMERIC	N
54	30	kvadratdan	I-NUMERIC	N
54	31	kam	O	RR
54	32	bo‘lmasligi	O	VB
54	33	lozim	O	MD
54	34	""""	O	PUNCT
54	35	ligi	O	JJ
54	36	belgilanayotganiga	O	N
54	37	munosabat	O	N
54	38	bildirdi	O	VB
54	39	.	O	PUNCT
55	1	Ijaraga	O	N
55	2	beriladigan	O	VB
55	3	2025-02-03 00:00:00	B-NUMERIC	N
55	4	xonalik	O	JJ
55	5	uylarning	O	N
55	6	o‘rtacha	O	N
55	7	hajmi	O	N
55	8	45-60	B-NUMERIC	N
55	9	kv.m.	I-NUMERIC	N
55	10	deb	O	II
55	11	hisoblasak	O	VB
55	12	,	O	PUNCT
55	13	bunday	O	P
55	14	xonadonlarga	O	N
55	15	2025-04-05 00:00:00	B-NUMERIC	N
55	16	nafar	I-NUMERIC	N
55	17	talabani	O	N
55	18	rasmiylashtirish	O	VB
55	19	mumkin	O	VB
55	20	bo‘ladi	O	VB
55	21	.	O	PUNCT
56	1	Qaror	O	N
56	2	loyihasiga	O	N
56	3	bunday	O	P
56	4	band	O	N
56	5	kiritilishiga	O	N
56	6	joylarda	O	N
56	7	ko‘p	O	RR
56	8	qavatli	O	JJ
56	9	uylarning	O	N
56	10	1	B-NUMERIC	NUM
56	11	xonali	O	JJ
56	12	xonadonida	O	N
56	13	2025-08-10 00:00:00	B-NUMERIC	N
56	14	nafar	I-NUMERIC	N
56	15	yoki	O	C
56	16	0,5	B-NUMERIC	NER
56	17	sotix	I-NUMERIC	NER
56	18	(	O	PUNCT
56	19	180	B-NUMERIC	NUM
56	20	kvadrat	I-NUMERIC	N
56	21	metrli	I-NUMERIC	JJ
56	22	)	O	PUNCT
56	23	xonadonda	O	N
56	24	70	B-NUMERIC	NUM
56	25	nafargacha	I-NUMERIC	NUM
56	26	talaba	O	N
56	27	istiqomat	O	VB
56	28	qilish	O	VB
56	29	holatlar	O	N
56	30	kuzatilgani	O	VB
56	31	sabab	O	N
56	32	bo‘lgan	O	VB
56	33	.	O	PUNCT
57	1	Toshkentni	B-LOC	NER
57	2	$250mlrd.ga	B-MONEY	NER
57	3	olx.uz	B-ORG	NER
57	4	ga	O	NER
57	5	sotuvga	O	N
57	6	qo‘ygan	O	VB
57	7	shovvozni	O	VB
57	8	topishibdi	O	VB
57	9	.	O	PUNCT
58	1	U	O	P
58	2	Toshkent	B-LOC	NER
58	3	shahridagi	O	N
58	4	maktablarning	O	N
58	5	birida	O	NUM
58	6	8-sinfda	B-NUMERIC	N
58	7	o‘qiyotgan	O	VB
58	8	yigit	O	N
58	9	bo‘lib	O	VB
58	10	chiqdi	O	VB
58	11	.	O	PUNCT
59	1	OLX	B-ORG	NER
59	2	direktori	O	N
59	3	intervyu	O	N
59	4	berganiga	O	VB
59	5	qaraganda	O	II
59	6	uni	O	P
59	7	topishda	O	VB
59	8	olxdan	B-ORG	N
59	9	ro‘yxatdan	O	N
59	10	o‘tgan	O	VB
59	11	raqamdan	O	N
59	12	foydalanishgan	O	VB
59	13	.	O	PUNCT
60	1	Vazirlar	B-ORG	NER
60	2	Mahkamasida	I-ORG	NER
60	3	bo‘lib	O	VB
60	4	o‘tgan	O	VB
60	5	rayosat	O	N
60	6	yig‘ilishda	O	VB
60	7	OTMlar	O	N
60	8	faoliyati	O	N
60	9	tanqidiy	O	JJ
60	10	ruhda	O	N
60	11	ko‘rib	O	VB
60	12	chiqilgan	O	VB
60	13	.	O	PUNCT
61	1	Manbalarning	O	N
61	2	xabar	O	VB
61	3	berishicha	O	VB
61	4	ishdan	O	N
61	5	olinadigan	O	VB
61	6	rektorlar	O	N
61	7	ro‘yxati	O	N
61	8	shakllantirilgan	O	VB
61	9	.	O	PUNCT
62	1	O‘zbekistonda	B-LOC	NER
62	2	referendum	O	N
62	3	kuni	O	N
62	4	yaqinlashmoqda	O	VB
62	5	!	O	PUNCT
63	1	Shu	O	P
63	2	kunlarda	O	N
63	3	biz	O	P
63	4	mamlakatimiz	O	N
63	5	tarixidagi	O	N
63	6	muhim	O	JJ
63	7	davrni	O	N
63	8	bosib	O	VB
63	9	o‘tmoqdamiz	O	VB
63	10	.	O	PUNCT
64	1	Abituriyentlar	O	N
64	2	diqqatiga	O	N
64	3	:	O	PUNCT
64	4	Bilim	B-ORG	N
64	5	va	I-ORG	C
64	6	malakalarni	I-ORG	N
64	7	baholash	I-ORG	VB
64	8	agentligi	I-ORG	N
64	9	(	O	PUNCT
64	10	sobiq	O	JJ
64	11	Davlat	B-ORG	N
64	12	test	I-ORG	N
64	13	markazi	I-ORG	N
64	14	)	O	PUNCT
64	15	test	O	N
64	16	sinovlari	O	N
64	17	uchun	O	II
64	18	namunaviy	O	JJ
64	19	test	O	N
64	20	savollarini	O	N
64	21	e’lon	O	VB
64	22	qildi	O	VB
64	23	.	O	PUNCT
65	1	Oliy	B-ORG	NER
65	2	Majlisning	I-ORG	NER
65	3	Inson	B-MISC	NER
65	4	huquqlari	I-MISC	N
65	5	vakili	I-MISC	N
65	6	(	O	PUNCT
65	7	ombudsman	B-MISC	N
65	8	)	O	PUNCT
65	9	ishonch	O	N
65	10	telefoniga	O	N
65	11	Namangan	B-LOC	NER
65	12	viloyati	I-LOC	NER
65	13	Chortoq	B-LOC	NER
65	14	tumanida	I-LOC	NER
65	15	yashovchi	O	N
65	16	talaba	O	N
65	17	qiz	O	N
65	18	noma’lum	O	JJ
65	19	bir	O	NUM
65	20	shaxs	O	N
65	21	tomonidan	O	II
65	22	doimiy	O	RR
65	23	ravishda	O	RR
65	24	telefon	O	N
65	25	orqali	O	II
65	26	qo‘rqitib	O	VB
65	27	bezovta	O	VB
65	28	qilinayotgani	O	VB
65	29	bo‘yicha	O	II
65	30	murojaat	O	VB
65	31	qildi	O	VB
65	32	.	O	PUNCT
66	1	Prezident	O	NER
66	2	Shavkat	B-PER	NER
66	3	Mirziyoyevga	I-PER	NER
66	4	poytaxtni	O	N
66	5	kompleks	O	N
66	6	rivojlantirish	O	VB
66	7	,	O	PUNCT
66	8	sanoat	O	N
66	9	va	O	C
66	10	transport	O	N
66	11	infratuzilmasini	O	N
66	12	yaxshilash	O	VB
66	13	masalalari	O	N
66	14	yuzasidan	O	II
66	15	axborot	O	N
66	16	berildi	O	VB
66	17	.	O	PUNCT
67	1	Taqdimotda	O	N
67	2	«	O	PUNCT
67	3	Yangi	B-ORG	NER
67	4	avlod	I-ORG	NER
67	5	»	O	PUNCT
67	6	maxsus	O	JJ
67	7	sanoat	O	N
67	8	zonasini	O	N
67	9	rivojlantirish	O	VB
67	10	rejalari	O	N
67	11	ko‘rib	O	VB
67	12	chiqildi	O	VB
67	13	.	O	PUNCT
68	1	774	B-NUMERIC	NUM
68	2	gektar	I-NUMERIC	NUM
68	3	maydonda	O	N
68	4	tashkil	O	VB
68	5	etilgan	O	VB
68	6	mazkur	O	RR
68	7	hududda	O	N
68	8	hozirgacha	O	RR
68	9	268	B-NUMERIC	NUM
68	10	gektarda	I-NUMERIC	NUM
68	11	28	B-NUMERIC	NUM
68	12	ta	I-NUMERIC	NUM
68	13	loyiha	O	N
68	14	amalga	O	IB
68	15	oshirilmoqda	O	IB
68	16	,	O	PUNCT
68	17	ularning	O	P
68	18	umumiy	O	JJ
68	19	qiymati	O	N
68	20	esa	O	C
68	21	800	B-MONEY	NER
68	22	million	I-MONEY	NER
68	23	dollarga	I-MONEY	NER
68	24	teng	O	RR
68	25	.	O	PUNCT
69	1	Yana	O	RR
69	2	300	B-NUMERIC	NUM
69	3	gektarda	I-NUMERIC	N
69	4	joylashadigan	O	VB
69	5	30	B-NUMERIC	NUM
69	6	ta	I-NUMERIC	NUM
69	7	loyiha	O	N
69	8	bo‘yicha	O	II
69	9	investorlar	O	N
