Sentence	Word	BIOES-Tag	English-version (translation)	
Sentence 10	etiladi	O	implementation	
Sentence 11	Buxoro	B-LOC	Bukhara	
Sentence 11	viloyatidagi	E-LOC	region's	
Sentence 11	Bunda	O	In	
Sentence 11	kompleks	O	complex	
Sentence 11	davlat	S-LOC	state	
Sentence 11	akkreditatsiyasi	O	accreditation	
Sentence 11	har	O	every	
Sentence 11	yilda	O	year	
Sentence 11	ta’lim	B-ORG	education	
Sentence 11	muassasalarini	E-ORG	institutions	
Sentence 11	tashqi	O	external	
Sentence 11	baholash	O	assessment	
Sentence 11	natijalari	O	results	
Sentence 11	asosida	O	based	
Sentence 11	o‘tkaziladi	O	is	
Sentence 12	Namangan	B-LOC	Namangan	
Sentence 12	viloyatidagi	E-LOC	region's	
Sentence 12	Kompleks	O	complex	
Sentence 12	davlat	S-LOC	state	
Sentence 12	akkreditatsiyasidan	O	from	
Sentence 12	o‘tmagan	O	not	
Sentence 12	ta’lim	B-ORG	education	
Sentence 12	muassasiga	E-ORG	to	
Sentence 12	aniqlangan	O	identified	
Sentence 12	kamchiliklarni	O	deficiencies	
Sentence 12	bartaraf	O	elimination	
Sentence 12	etish	O	to	
Sentence 12	uchun	O	for	
Sentence 12	oygacha	O	up	
Sentence 12	muddat	O	term	
Sentence 12	beriladi	O	is	
Sentence 13	Farg'ona	B-LOC	Fergana	
Sentence 13	viloyatidagi	E-LOC	region's	
Sentence 13	Aniqlangan	O	identified	
Sentence 13	kamchiliklarni	O	deficiencies	
Sentence 13	bartaraf	O	elimination	
Sentence 13	etmagan	O	not	
Sentence 13	ta’lim	B-ORG	education	
Sentence 13	muasassasi	E-ORG	institution	
Sentence 13	faoliyatini	O	activity	
Sentence 13	tugatish	O	termination	
Sentence 13	litsenziyasini	O	license	
Sentence 13	bekor	O	cancel	
Sentence 13	qilish	O	to	
Sentence 13	yoki	O	or	
Sentence 13	ta’lim	O	education	
Sentence 13	dasturini	O	program	
Sentence 13	yopish	O	closure	
Sentence 13	to‘g‘risida	O	about	
Sentence 13	qaror	O	decision	
Sentence 13	qabul	O	acceptance	
Sentence 13	qilinadi	O	is	
Sentence 13	Litsenziyasi	O	license	
Sentence 13	bekor	O	cancel	
Sentence 13	qilingan	O	revoked	
Sentence 13	ta’lim	B-ORG	education	
Sentence 13	muasassasi	E-ORG	institution	
Sentence 13	yoki	O	or	
Sentence 13	yopilgan	O	closed	
Sentence 13	ta’lim	O	education	
Sentence 13	dasturida	O	program	
Sentence 13	tahsil	O	study	
Sentence 13	olayotgan	O	receiving	
Sentence 13	talabalarga	S-PER	to	
Sentence 13	o‘qishini	O	education	
Sentence 13	davlat	S-LOC	state	
Sentence 13	va	O	and	
Sentence 13	nodavlat	S-LOC	non-state	
Sentence 13	ta’lim	B-ORG	education	
Sentence 13	muasassalarining	E-ORG	institutions'	
Sentence 13	mos	O	corresponding	
Sentence 13	va	O	and	
Sentence 13	turdosh	O	related	
Sentence 13	ta’lim	O	education	
Sentence 13	yo‘nalishlari	O	directions	
Sentence 13	va	O	and	
Sentence 13	mutaxassisliklariga	O	specialties	
Sentence 13	belgilangan	O	established	
Sentence 13	tartibda	O	in	
Sentence 13	ko‘chirish	O	transfer	
Sentence 13	huquqi	O	right	
Sentence 13	beriladi	O	is	
Sentence 14	Jizzax	B-LOC	Jizzakh	
Sentence 14	viloyatidagi	E-LOC	region's	
Sentence 14	Maxsus	O	special	
Sentence 14	davlat	S-LOC	state	
Sentence 14	akkreditatsiyasi	O	accreditation	
Sentence 14	kadrlar	O	personnel	
Sentence 14	tayyorlash	O	training	
Sentence 14	yo‘lga	O	set	
Sentence 14	qo‘yilayotgan	O	being	
Sentence 14	ta’lim	O	education	
Sentence 14	dasturlari	O	programs	
Sentence 14	bo‘yicha	O	according	
Sentence 14	o‘quv	O	educational	
Sentence 14	jarayoni	O	process	
Sentence 14	boshlanishidan	O	before	
Sentence 14	oldin	O	before	
Sentence 14	o‘tkaziladi	O	is	
Sentence 15	Samarqand	B-LOC	Samarkand	
Sentence 15	viloyatidagi	E-LOC	region's	
Sentence 15	Maxsus	O	special	
Sentence 15	davlat	S-LOC	state	
Sentence 15	akkreditatsiyasidan	O	from	
Sentence 15	o‘tmagan	O	not	
Sentence 15	ta’lim	O	education	
Sentence 15	dasturlari	O	programs	
Sentence 15	bo‘yicha	O	according	
Sentence 15	talaba	S-PER	student	
Sentence 15	va	O	and	
Sentence 15	o‘quvchilarni	S-PER	pupils	
Sentence 15	o‘qitishga	O	teaching	
Sentence 15	yo‘l	O	way	
Sentence 15	qo‘yilmaydi	O	is	
Sentence 16	Xorazm	B-LOC	Khorezm	
Sentence 16	viloyatidagi	E-LOC	region's	
Sentence 16	Ta’lim	O	education	
Sentence 16	dasturlarini	O	programs	
Sentence 16	xalqaro	O	international	
Sentence 16	akkreditatsiyadan	O	from	
Sentence 16	o‘tkazish	O	conducting	
Sentence 16	amaliyoti	O	practice	
Sentence 16	joriy	O	introduction	
Sentence 16	etiladi	O	is	
Sentence 17	Qashqadaryo	B-LOC	Kashkadarya	
Sentence 17	viloyatidagi	E-LOC	region's	
Sentence 17	Oliy	B-ORG	Higher	
Sentence 17	ta’lim	I-ORG	education	
Sentence 17	fan	I-ORG	science	
Sentence 17	va	I-ORG	and	
Sentence 17	innovatsiyalar	I-ORG	innovations	
Sentence 17	vazirligi	E-ORG	ministry	
Sentence 17	O'zbekistonda	S-LOC	in	
Sentence 17	tan	O	recognized	
Sentence 17	olinadigan	O	accepted	
Sentence 17	xalqaro	O	international	
Sentence 17	akkreditatsiya	O	accreditation	
Sentence 17	tashkilotlariga	S-ORG	to	
Sentence 17	qo‘yiladigan	O	set	
Sentence 17	talablarni	O	requirements	
Sentence 17	belgilaydi	O	determines	
Sentence 17	va	O	and	
Sentence 17	ularning	O	their	
Sentence 17	reyestrini	O	registry	
Sentence 17	yuritadi	O	maintains	
Sentence 18	Buxoro	B-LOC	Bukhara	
Sentence 18	viloyatidagi	E-LOC	region's	
Sentence 18	mazkur	O	this	
Sentence 18	reyestrga	O	to	
Sentence 18	kiritilgan	O	included	
Sentence 18	xalqaro	O	international	
Sentence 18	akkreditatsiya	O	accreditation	
Sentence 18	tashkilotlari	S-ORG	organizations	
Sentence 18	tomonidan	O	by	
Sentence 18	akkreditatsiyadan	O	from	
Sentence 18	o‘tkazilgan	O	conducted	
Sentence 18	ta’lim	O	education	
Sentence 18	dasturlari	O	programs	
Sentence 18	navbatdagi	O	next	
Sentence 18	kompleks	O	complex	
Sentence 18	davlat	S-LOC	state	
Sentence 18	akkreditatsiyasida	O	in	
Sentence 18	tekshiruvdan	O	from	
Sentence 18	o‘tkazilmaydi	O	are	
Sentence 19	Namangan	B-LOC	Namangan	
Sentence 19	viloyatidagi	E-LOC	region's	
Sentence 19	Oliy	B-ORG	Higher	
Sentence 19	ta’lim	I-ORG	education	
Sentence 19	fan	I-ORG	science	
Sentence 19	va	I-ORG	and	
Sentence 19	innovatsiyalar	I-ORG	innovations	
Sentence 19	vazirligi	E-ORG	ministry	
Sentence 19	tomonidan	O	by	
Sentence 19	tan	O	recognized	
Sentence 19	olingan	O	taken	
Sentence 19	nufuzli	O	prestigious	
Sentence 19	xalqaro	O	international	
Sentence 19	reyting	O	rating	
Sentence 19	tashkilotlarining	S-ORG	organizations'	
Sentence 19	amaldagi	O	current	
Sentence 19	ro‘yxatida	O	in	
Sentence 19	birinchi	O	first	
Sentence 19	ming	O	thousand	
Sentence 19	talikka	O	ranking	
Sentence 19	kirgan	O	included	
Sentence 19	oliy	B-ORG	higher	
Sentence 19	ta’lim	I-ORG	education	
Sentence 19	muasassalari	E-ORG	institutions	
Sentence 19	navbatdagi	O	next	
Sentence 19	kompleks	O	complex	
Sentence 19	davlat	S-LOC	state	
Sentence 19	akkreditatsiyasidan	O	from	
Sentence 19	ozod	O	exempt	
Sentence 19	qilinadi	O	is	
Sentence 20	Farg'ona	B-LOC	Fergana	
Sentence 20	viloyatidagi	E-LOC	region's	
Sentence 20	Ta’lim	B-ORG	education	
Sentence 20	muasassalarining	E-ORG	institutions'	
Sentence 20	davlat	S-LOC	state	
Sentence 20	akkreditatsiyasi	O	accreditation	
Sentence 20	to‘lov	O	payment	
Sentence 20	asosida	O	on	
Sentence 20	Oliy	B-ORG	Higher	
Sentence 20	ta’lim	I-ORG	education	
Sentence 20	fan	I-ORG	science	
Sentence 20	va	I-ORG	and	
Sentence 20	innovatsiyalar	I-ORG	innovations	
Sentence 20	vazirligi	E-ORG	ministry	
Sentence 20	tomonidan	O	by	
Sentence 20	o‘tkaziladi	O	is	
Sentence 20	hamda	O	and	
Sentence 20	to‘lov	O	payment	
Sentence 20	jumladan	O	including	
Sentence 20	akkreditatsiyani	O	accreditation	
Sentence 20	o‘tkazishga	O	conducting	
Sentence 20	jalb	O	involved	
Sentence 20	qilingan	O	made	
Sentence 20	mutaxassislar	S-PER	specialists	
Sentence 20	mehnatiga	O	labor	
Sentence 20	haq	O	payment	
Sentence 20	to‘lash	O	pay	
Sentence 20	uchun	O	for	
Sentence 20	yo‘naltiriladi	O	is	
Sentence 21	O'zbekistonda	S-LOC	in	
Sentence 21	faoliyat	O	activity	
Sentence 21	yurituvchi	O	conducting	
Sentence 21	oliy	B-ORG	higher	
Sentence 21	ta’lim	I-ORG	education	
Sentence 21	muasassalarining	E-ORG	institutions'	
Sentence 21	reytingini	O	rating	
Sentence 21	yuritish	O	maintain	
Sentence 21	bo‘yicha	O	regarding	
Sentence 21	shunday	O	such	
Sentence 21	tartib	O	procedure	
Sentence 21	o‘rnatilsinki	O	be	
Sentence 21	unga	O	to	
Sentence 21	ko‘ra	O	according	
Sentence 21	reyting	O	rating	
Sentence 21	Oliy	B-ORG	Higher	
Sentence 21	ta’lim	I-ORG	education	
Sentence 21	fan	I-ORG	science	
Sentence 21	va	I-ORG	and	
Sentence 21	innovatsiyalar	I-ORG	innovations	
Sentence 21	vazirligi	E-ORG	ministry	
Sentence 21	tomonidan	O	by	
Sentence 21	ta’lim	B-ORG	education	
Sentence 21	muasassalarining	E-ORG	institutions'	
Sentence 21	faoliyati	O	activity	
Sentence 21	va	O	and	
Sentence 21	ta’lim	O	education	
Sentence 21	jarayoniga	O	to	
Sentence 21	aralashmagan	O	not	
Sentence 21	holda	O	while	
Sentence 21	ma’lumotlarni	O	information	
Sentence 21	axborot	O	information	
Sentence 21	tizimi	O	system	
Sentence 21	orqali	O	through	
Sentence 21	olish	O	obtaining	
Sentence 21	yo‘li	O	way	
Sentence 21	bilan	O	with	
Sentence 21	yuritiladi	O	is	
Sentence 22	Jizzax	B-LOC	Jizzakh	
Sentence 22	viloyatidagi	E-LOC	region's	
Sentence 22	2024	O	2024	
Sentence 22	yil	O	year	
Sentence 22	yanvardan	O	from	
Sentence 22	boshlab	O	starting	
Sentence 22	reyting	O	rating	
Sentence 22	davlat	S-LOC	state	
Sentence 22	va	O	and	
Sentence 22	nodavlat	O	non-state	
Sentence 22	oliy	B-ORG	higher	
Sentence 22	ta’lim	I-ORG	education	
Sentence 22	muasassalari	E-ORG	institutions	
Sentence 22	bo‘yicha	O	according	
Sentence 22	umumiy	O	general	
Sentence 22	aniqlanadi	O	is	
Sentence 23	Samarqand	B-LOC	Samarkand	
Sentence 23	viloyatidagi	E-LOC	region's	
Sentence 23	so‘nggi	O	last	
Sentence 23	besh	O	five	
Sentence 23	yil	O	year	
Sentence 23	davomida	O	during	
Sentence 23	reytingda	O	in	
Sentence 23	birinchi	O	first	
Sentence 23	on	O	ten	
Sentence 23	talik	O	list	
Sentence 23	o‘rinni	O	place	
Sentence 23	egallagan	O	occupied	
Sentence 23	oliy	B-ORG	higher	
Sentence 23	ta’lim	I-ORG	education	
Sentence 23	muasassalari	E-ORG	institutions	
Sentence 23	navbatdagi	O	next	
Sentence 23	kompleks	O	complex	
Sentence 23	davlat	S-LOC	state	
Sentence 23	akkreditatsiyasidan	O	from	
Sentence 23	ozod	O	exempt	
Sentence 23	qilinadi	O	is	
Sentence 24	Xorazm	B-LOC	Khorezm	
Sentence 24	viloyatidagi	E-LOC	region's	
Sentence 24	2025	O	2025	
Sentence 24	yil	O	year	
Sentence 24	yanvardan	O	from	
Sentence 24	boshlab	O	starting	
Sentence 24	nodavlat	O	non-state	
Sentence 24	oliy	B-ORG	higher	
Sentence 24	ta’lim	I-ORG	education	
Sentence 24	muasassalariga	E-ORG	to	
Sentence 24	davlat	S-LOC	state	
Sentence 24	buyurtmasi	O	order	
Sentence 24	asosida	O	on	
Sentence 24	kadrlar	O	personnel	
Sentence 24	tayyorlash	O	training	
Sentence 24	bo‘yicha	O	regarding	
Sentence 24	kvota	O	quota	
Sentence 24	ularning	O	their	
Sentence 24	reytingdagi	O	in	
Sentence 24	o‘rniga	O	place	
Sentence 24	muvofiq	O	accordingly	
Sentence 24	ajratiladi	O	is	
Sentence 25	Qashqadaryo	B-LOC	Kashkadarya	
Sentence 25	viloyatidagi	E-LOC	region's	
Sentence 25	Oliy	B-ORG	Higher	
Sentence 25	ta’lim	I-ORG	education	
Sentence 25	muasassalarining	E-ORG	institutions'	
Sentence 25	ta’lim	O	education	
Sentence 25	sohalari	O	fields	
Sentence 25	kesimidagi	O	in terms of	
Sentence 25	reytingini	O	rating	
Sentence 25	yuritish	O	to maintain	
Sentence 25	yo‘lga	O	to set up	
Sentence 25	qo‘yiladi	O	is established	
Sentence 26	2023	O	2023	
Sentence 26	2024	O	2024	
Sentence 26	o‘quv	O	educational	
Sentence 26	yilidan	O	from the year	
Sentence 26	boshlab	O	starting	
Sentence 26	akademik	B-ORG	academic	
Sentence 26	litseylarga	E-ORG	to lyceums	
Sentence 26	o‘quvchilarni	S-PER	students	
Sentence 26	qabul	O	admission	
Sentence 26	qilishda	O	in doing	
Sentence 26	yozma	O	written	
Sentence 26	imtihon	O	examination	
Sentence 26	asosida	O	based on	
Sentence 26	dastlabki	O	initial	
Sentence 26	saralash	O	selection	
Sentence 26	bosqichi	O	stage	
Sentence 26	bekor	O	canceled	
Sentence 26	qilinadi	O	is done	
Sentence 27	Kollej	S-ORG	College	
Sentence 27	va	O	and	
Sentence 27	texnikumlarning	O	of technical schools	
Sentence 27	ta’lim	O	education	
Sentence 27	dasturlariga	O	to programs	
Sentence 27	davlat	S-LOC	state	
Sentence 27	granti	O	grant	
Sentence 27	asosidagi	O	based on	
Sentence 27	qabul	O	admission	
Sentence 27	ko‘rsatkichlari	O	indicators	
Sentence 27	ikki	O	two	
Sentence 27	baravarga	O	times	
Sentence 27	oshiriladi	O	will be increased	
Sentence 28	Oliy	B-ORG	Higher	
Sentence 28	ta’lim	I-ORG	education	
Sentence 28	muassasalariga	E-ORG	to institutions	
Sentence 28	hujjat	O	documents	
Sentence 28	topshirishda	O	when submitting	
Sentence 28	abituriyentlarga	S-PER	to applicants	
Sentence 28	davlat	S-LOC	state	
Sentence 28	granti	O	grant	
Sentence 28	yoki	O	or	
Sentence 28	ta’lim	O	education	
Sentence 28	yo‘nalishi	O	direction	
Sentence 28	ustuvorliklaridan	O	from priorities	
Sentence 28	birini	O	one	
Sentence 28	tanlash	O	to choose	
Sentence 28	va	O	and	
Sentence 28	tanlagan	O	chosen	
Sentence 28	ustuvorligi	O	priority	
Sentence 28	bo‘yicha	O	according to	
Sentence 28	bakalavriat	O	bachelor's	
Sentence 28	ta’lim	O	education	
Sentence 28	yo‘nalishlari	O	directions	
Sentence 28	ketma	O	sequential	
Sentence 28	ketligida	O	order	
Sentence 28	tanlovda	O	in selection	
Sentence 28	ishtirok	O	participation	
Sentence 28	etish	O	to do	
Sentence 28	huquqi	O	right	
Sentence 28	beriladi	O	is given	
Sentence 29	Talabaning	S-PER	student's	
Sentence 29	ta’lim	O	education	
Sentence 29	yo‘nalishiga	O	to the direction	
Sentence 29	mos	O	corresponding	
Sentence 29	startap	O	startup	
Sentence 29	loyihasini	O	project	
Sentence 29	hamda	O	and	
Sentence 29	ratsionalizatorlik	O	rationalization	
Sentence 29	g‘oyasini	O	idea	
Sentence 29	bitiruv	O	graduation	
Sentence 29	malakaviy	O	qualification	
Sentence 29	ishi	O	work	
Sentence 29	va	O	and	
Sentence 29	magistrlik	O	master's	
Sentence 29	dissertatsiyasi	O	dissertation	
Sentence 29	sifatida	O	as	
Sentence 29	himoya	O	defense	
Sentence 29	qilish	O	to do	
Sentence 29	amaliyoti	O	practice	
Sentence 29	joriy	O	is introduced	
Sentence 29	etiladi	O	is done	
Sentence 30	Oliy	B-ORG	Higher	
Sentence 30	ta’lim	I-ORG	education	
Sentence 30	muassasalari	E-ORG	institutions	
Sentence 30	talabalarining	S-PER	students'	
Sentence 30	iqtisodiyot	O	economy	
Sentence 30	tarmoqlari	O	sectors	
Sentence 30	korxonalarida	S-ORG	at enterprises	
